,166,85,107,130,60,159,20,146,58,63,12,19,25,35,43,48,76,82,108,122,123,124,137,143,147,158,163,165,175,191,71,118,106,127,28,186,2,142,188,125,112,145,47,78,8,129,157,41,24,93,170,86,169,21,88,105,185,104,193,179,68,22,180,49,176,87,116,84,131,103,72,187,178,70,6,77,128,119,160,154,69,174,4,44,26,90,94,117,51,114,109,150,65,75,120,62,10,1,3,5,7,9,11,13,14,15,16,17,18,23,27,29,30,31,32,33,34,36,37,38,39,40,42,45,46,50,52,53,54,55,56,57,59,61,64,66,67,73,74,79,80,81,83,89,91,92,95,96,97,98,99,100,101,102,110,111,113,115,121,126,132,133,134,135,136,138,139,140,141,144,148,149,151,152,153,155,156,161,162,164,167,168,171,172,173,177,181,182,183,184,189,190,192,194
166,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998,3.9899999999999998
85,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79
107,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24
130,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08
60,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965,3.965
159,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001,4.710000000000001
20,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565,3.565
146,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67
58,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295
