start_node,rep,strategy,reward,oracle_reward,gap_oracle_pct,rhlr_reward,adv_vs_rhlr_pct,mc_reward,valid,rollout_time
5,1,real_beam10,2379.0,2379.0,0.0,2379.0,0.0,2379.0,True,0.08469533920288086
5,1,real_beam20,2379.0,2379.0,0.0,2379.0,0.0,2379.0,True,0.11403584480285645
5,2,real_beam1,1689.0,2908.0,41.918844566712515,2908.0,-41.918844566712515,2908.0,True,0.01549386978149414
5,2,real_beam10,2908.0,2908.0,0.0,2908.0,0.0,2908.0,True,0.07878589630126953
5,2,real_beam20,2908.0,2908.0,0.0,2908.0,0.0,2908.0,True,0.10278534889221191
6,0,real_beam1,4392.0,5468.0,19.6781272860278,5248.0,-16.3109756097561,5248.0,True,0.03321075439453125
6,0,real_beam10,5248.0,5468.0,4.023408924652524,5248.0,0.0,5248.0,True,0.15500664710998535
6,0,real_beam20,5248.0,5468.0,4.023408924652524,5248.0,0.0,5248.0,True,0.31379079818725586
6,1,real_beam1,3917.0,5844.0,32.973990417522245,4466.0,-12.292879534258844,4552.0,True,0.03235888481140137
6,1,real_beam10,4331.0,5844.0,25.889801505817932,4466.0,-3.0228392297357813,4552.0,True,0.17606091499328613
6,1,real_beam20,4466.0,5844.0,23.579739904175224,4466.0,0.0,4552.0,True,0.33785152435302734
6,2,real_beam1,4299.0,5133.0,16.24780829924021,4369.0,-1.6021972991531241,4791.0,True,0.03587627410888672
6,2,real_beam10,4369.0,5133.0,14.884083382037794,4369.0,0.0,4791.0,True,0.17041468620300293
6,2,real_beam20,4369.0,5133.0,14.884083382037794,4369.0,0.0,4791.0,True,0.3189585208892822
7,0,real_beam1,4034.0,4694.0,14.060502769492969,4621.0,-12.702878164899372,4694.0,True,0.027190208435058594
7,0,real_beam10,4305.0,4694.0,8.287175117170856,4621.0,-6.838346678208181,4694.0,True,0.1084282398223877
7,0,real_beam20,4621.0,4694.0,1.5551768214742225,4621.0,0.0,4694.0,True,0.20599579811096191
7,1,real_beam1,3551.0,4432.0,19.87815884476534,4317.0,-17.7438035672921,4317.0,True,0.027008771896362305
7,1,real_beam10,4317.0,4432.0,2.594765342960289,4317.0,0.0,4317.0,True,0.1370081901550293
7,1,real_beam20,4317.0,4432.0,2.594765342960289,4317.0,0.0,4317.0,True,0.20968937873840332
7,2,real_beam1,2597.0,3577.0,27.397260273972602,3207.0,-19.020891799189275,3577.0,True,0.0268402099609375
7,2,real_beam10,3287.0,3577.0,8.107352530053118,3207.0,2.4945431867789214,3577.0,True,0.12392735481262207
7,2,real_beam20,3287.0,3577.0,8.107352530053118,3207.0,2.4945431867789214,3577.0,True,0.2001631259918213
8,0,real_beam1,4283.0,5207.0,17.745342807758785,4539.0,-5.640008812513769,4941.0,True,0.026582002639770508
8,0,real_beam10,4539.0,5207.0,12.828884194353755,4539.0,0.0,4941.0,True,0.154510498046875
8,0,real_beam20,4539.0,5207.0,12.828884194353755,4539.0,0.0,4941.0,True,0.30889201164245605
8,1,real_beam1,2564.0,4303.0,40.41366488496398,4172.0,-38.54266538830297,3269.0,True,0.022365093231201172
8,1,real_beam10,3081.0,4303.0,28.3987915407855,4172.0,-26.15052732502397,3269.0,True,0.16869020462036133
8,1,real_beam20,3228.0,4303.0,24.982570299790844,4172.0,-22.627037392138064,3269.0,True,0.3315916061401367
8,2,real_beam1,4982.0,6563.0,24.089593173853423,6300.0,-20.92063492063492,6300.0,True,0.035384416580200195
8,2,real_beam10,6300.0,6563.0,4.00731372847783,6300.0,0.0,6300.0,True,0.1735389232635498
8,2,real_beam20,6300.0,6563.0,4.00731372847783,6300.0,0.0,6300.0,True,0.3564136028289795
9,0,real_beam1,905.0,1145.0,20.96069868995633,1145.0,-20.96069868995633,941.0,True,0.021200180053710938
9,0,real_beam10,941.0,1145.0,17.81659388646288,1145.0,-17.81659388646288,941.0,True,0.17512035369873047
9,0,real_beam20,1145.0,1145.0,0.0,1145.0,0.0,941.0,True,0.28383636474609375
9,1,real_beam1,298.0,2608.0,88.57361963190185,2608.0,-88.57361963190185,2608.0,True,0.016951322555541992
9,1,real_beam10,2608.0,2608.0,0.0,2608.0,0.0,2608.0,True,0.1692492961883545
9,1,real_beam20,2608.0,2608.0,0.0,2608.0,0.0,2608.0,True,0.30588316917419434
9,2,real_beam1,69.0,1486.0,95.35666218034994,195.0,-64.61538461538461,195.0,True,0.015661954879760742
9,2,real_beam10,1486.0,1486.0,0.0,195.0,662.051282051282,195.0,True,0.1238100528717041
9,2,real_beam20,1486.0,1486.0,0.0,195.0,662.051282051282,195.0,True,0.2558412551879883
10,0,real_beam1,6109.0,6402.0,4.57669478288035,6402.0,-4.57669478288035,6402.0,True,0.016605615615844727
10,0,real_beam10,6402.0,6402.0,0.0,6402.0,0.0,6402.0,True,0.08984923362731934
10,0,real_beam20,6402.0,6402.0,0.0,6402.0,0.0,6402.0,True,0.1253652572631836
10,1,real_beam1,223.0,2880.0,92.25694444444444,2880.0,-92.25694444444444,2880.0,True,0.009966850280761719
10,1,real_beam10,2880.0,2880.0,0.0,2880.0,0.0,2880.0,True,0.09813857078552246
10,1,real_beam20,2880.0,2880.0,0.0,2880.0,0.0,2880.0,True,0.12703824043273926
10,2,real_beam1,386.0,2842.0,86.41801548205488,2842.0,-86.41801548205488,2842.0,True,0.009978294372558594
10,2,real_beam10,2842.0,2842.0,0.0,2842.0,0.0,2842.0,True,0.11349010467529297
10,2,real_beam20,2842.0,2842.0,0.0,2842.0,0.0,2842.0,True,0.12684345245361328
11,0,real_beam1,2887.0,5623.0,48.65730037346612,5623.0,-48.65730037346612,4560.0,True,0.033882856369018555
11,0,real_beam10,4462.0,5623.0,20.647341276898455,5623.0,-20.647341276898455,4560.0,True,0.20323586463928223
11,0,real_beam20,4663.0,5623.0,17.072736973146007,5623.0,-17.072736973146007,4560.0,True,0.3888225555419922
11,1,real_beam1,3353.0,6198.0,45.901903839948375,4728.0,-29.082064297800336,4662.0,True,0.02835869789123535
11,1,real_beam10,4555.0,6198.0,26.508551145530816,4728.0,-3.6590524534686972,4662.0,True,0.20142841339111328
11,1,real_beam20,4555.0,6198.0,26.508551145530816,4728.0,-3.6590524534686972,4662.0,True,0.36329078674316406
11,2,real_beam1,2515.0,5843.0,56.95704261509499,5558.0,-54.74991003958258,5071.0,True,0.02855682373046875
11,2,real_beam10,4672.0,5843.0,20.041074790347423,5558.0,-15.940985966174884,5071.0,True,0.2297217845916748
