origin,166,85,107,130,60,159,20,146,58,63,12,19,25,35,43,48,76,82,108,122,123,124,137,143,147,158,163,165,175,191,71,118,106,127,28,186,2,142,188,125,112,145,47,78,8,129,157,41,24,93,170,86,169,21,88,105,185,104,193,179,68,22,180,49,176,87,116,84,131,103,72,187,178,70,6,77,128,119,160,154,69,174,4,44,26,90,94,117,51,114,109,150,65,75,120,62,10
166,0.0,22.88,50.83,101.59,89.26,97.87,27.25,41.25,43.84,56.37,85.8,27.39,28.35,35.39,76.66,11.22,27.81,33.39,52.68,60.89,71.34,68.8,53.63,28.33,34.41,94.6,15.75,9.24,18.04,61.24,3.08,30.68,14.99,96.3,31.65,51.42,31.83,26.75,51.11,96.85,8.39,38.84,10.0,39.11,82.15,100.06,103.31,79.87,32.26,48.87,3.24,26.07,4.12,24.86,22.26,19.09,50.85,19.19,54.3,18.45,22.3,29.6,16.23,5.96,21.92,23.64,32.52,25.57,96.17,16.05,20.64,54.69,14.45,22.05,30.08,24.61,103.55,62.43,104.84,101.75,28.81,22.09,32.83,9.49,31.41,42.96,44.7,37.25,41.92,36.98,50.17,36.48,49.82,28.68,71.93,53.64,82.8
85,22.89,0.0,30.65,79.68,67.35,77.21,26.55,41.62,27.06,35.45,61.5,19.0,7.69,18.42,54.75,22.28,12.75,10.53,29.75,38.98,49.43,48.14,31.72,10.29,28.52,73.94,33.99,30.51,24.56,41.05,20.73,10.14,10.27,73.44,8.85,33.46,19.82,12.84,30.92,73.98,16.64,37.65,23.39,16.24,59.28,77.19,82.65,57.96,25.36,28.21,22.86,3.24,25.92,20.2,2.22,7.43,30.67,3.97,34.11,20.01,4.46,21.89,20.26,19.9,18.77,5.79,11.86,2.85,73.3,7.31,9.96,36.34,23.08,7.3,18.18,9.55,81.64,39.71,81.48,78.39,8.8,22.94,16.36,19.23,8.58,22.3,24.04,16.59,19.05,16.32,23.6,26.36,29.16,15.53,49.1,32.98,58.5
107,50.71,30.65,0.0,61.6,44.38,68.47,36.18,48.78,12.47,32.35,36.26,28.3,32.3,18.08,46.51,43.31,40.63,19.82,5.33,31.47,41.19,43.1,25.01,22.4,34.26,70.31,63.83,60.54,40.1,13.32,47.88,35.59,39.98,51.33,29.67,11.26,25.82,25.11,7.82,51.87,44.34,44.81,45.4,18.15,37.17,55.08,79.02,44.01,32.18,39.47,51.38,32.19,54.39,30.79,32.89,37.75,3.37,34.0,5.4,36.8,30.56,30.85,38.12,44.78,34.41,36.12,35.33,29.37,51.19,36.61,40.46,11.94,41.4,30.74,24.48,37.97,58.52,27.96,73.24,70.15,23.94,37.62,21.16,41.43,27.09,33.76,30.77,40.06,14.36,34.6,5.99,29.1,31.56,44.82,33.48,32.89,33.27
130,101.46,79.46,61.56,0.0,20.38,24.35,96.03,108.63,72.31,53.72,32.41,88.15,73.77,77.65,26.56,102.0,83.2,71.18,57.76,40.64,32.68,45.37,48.02,81.97,94.11,29.53,109.9,106.42,99.95,61.61,99.83,75.95,87.87,13.09,71.6,68.92,85.66,84.68,65.48,9.73,96.08,104.66,103.11,64.87,28.39,6.38,30.02,29.06,92.03,65.59,99.4,77.64,102.46,90.64,81.46,84.19,62.34,83.41,60.14,96.37,83.8,90.7,97.69,99.35,94.26,78.69,73.19,81.89,16.48,86.76,83.03,68.8,100.67,84.88,84.33,80.54,3.32,43.1,22.53,21.66,81.37,97.47,80.73,98.95,72.61,70.2,64.54,77.61,63.01,73.06,61.68,88.94,63.02,87.39,38.3,55.57,34.17
60,90.46,68.46,44.33,20.31,0.0,33.51,78.79,91.4,55.08,42.72,16.73,70.92,62.77,60.42,16.4,85.65,72.2,56.84,40.52,29.64,21.68,33.83,37.02,64.74,76.88,36.36,98.9,95.42,82.72,46.96,88.83,64.95,76.87,10.03,60.6,51.69,68.43,67.45,48.25,10.58,85.08,87.42,87.73,50.23,11.16,13.79,41.85,11.77,74.79,58.45,88.4,66.64,91.46,73.41,70.46,73.19,45.11,72.41,42.91,79.14,68.6,73.47,80.46,87.12,77.03,67.69,62.19,66.42,10.21,75.76,72.03,51.57,83.74,69.84,67.1,69.54,17.23,27.24,36.26,35.2,66.28,80.24,63.5,83.77,61.61,58.6,53.54,64.58,46.87,62.06,44.45,71.71,52.02,76.39,21.22,44.57,18.46
159,97.77,77.12,68.48,24.35,33.57,0.0,96.88,111.95,79.23,42.01,50.09,89.33,70.31,80.02,22.17,99.34,77.38,68.39,64.2,37.86,29.39,30.53,45.23,80.53,97.07,5.54,106.21,102.73,101.77,70.93,96.14,67.43,84.18,37.06,67.73,75.84,87.84,83.22,72.4,33.71,92.32,107.98,100.09,62.09,44.52,30.25,8.38,27.82,94.03,50.75,95.72,73.95,98.78,90.99,78.8,80.51,69.26,81.02,67.02,97.22,81.67,92.22,97.47,95.58,95.98,75.01,65.55,79.75,40.46,84.03,79.34,75.54,100.29,84.51,86.21,76.86,27.29,40.67,7.59,4.49,78.59,100.15,84.14,96.29,69.82,55.36,52.83,62.77,60.23,61.35,64.96,95.86,51.79,74.34,37.06,43.85,53.41
20,28.2,26.56,36.19,96.06,78.83,97.12,0.0,16.0,23.82,58.24,68.83,8.14,34.25,18.45,75.16,16.8,39.13,29.44,37.85,59.39,69.84,70.41,52.13,16.49,6.34,95.85,43.69,37.18,9.26,40.41,24.2,36.7,25.68,85.78,33.72,31.55,10.2,14.61,31.67,86.33,24.65,13.59,18.69,35.43,71.63,89.53,104.56,75.7,5.64,54.77,30.5,29.8,32.06,7.65,28.6,28.24,34.07,25.3,35.98,9.77,23.14,6.6,11.71,22.26,8.35,32.17,38.42,24.26,85.65,23.96,31.54,33.39,13.83,20.42,12.32,35.93,92.97,57.78,101.9,98.81,20.23,5.31,15.65,19.29,31.34,48.86,49.72,43.15,38.24,42.88,35.34,11.08,53.2,39.58,67.93,56.87,65.83
146,42.2,41.65,48.79,108.66,91.44,112.21,16.03,0.0,36.41,73.33,81.42,23.23,49.33,31.18,90.25,30.81,54.21,44.52,50.58,74.48,84.93,85.5,67.22,31.58,14.73,110.94,57.7,51.18,23.27,48.78,38.2,51.79,41.18,98.39,48.81,41.96,22.85,29.7,44.36,98.93,38.66,5.79,32.69,50.52,84.23,102.14,119.65,91.07,16.9,69.86,44.51,44.88,46.07,23.57,43.69,44.01,46.66,40.65,48.57,25.26,38.23,20.66,27.35,36.27,24.51,47.25,53.51,39.35,97.74,39.45,47.37,41.76,27.84,35.77,26.24,51.02,105.58,72.78,116.99,113.89,35.31,20.34,28.38,33.29,46.43,63.95,64.81,58.24,51.5,57.97,48.07,19.66,68.29,56.99,80.54,71.96,78.42
58,43.8,26.29,12.45,72.32,55.09,79.18,23.8,36.4,0.0,43.37,45.07,17.64,28.67,10.3,57.22,34.71,36.26,19.77,17.4,42.19,51.9,53.82,37.26,16.99,21.88,80.98,58.42,53.64,29.44,18.04,40.97,31.95,34.57,62.04,26.03,8.71,15.15,19.7,7.91,62.59,38.93,32.43,37.23,20.32,47.89,65.8,89.69,54.73,19.8,44.06,44.47,27.82,47.49,20.12,28.44,32.34,10.31,28.59,12.23,26.49,25.15,18.47,28.91,37.87,23.74,32.01,31.7,24.32,61.4,31.2,36.1,11.99,31.69,25.33,13.81,33.61,69.23,38.67,83.96,80.87,18.53,26.96,13.52,34.52,23.45,38.35,36.4,36.42,23.01,36.15,15.99,16.72,38.33,40.46,44.19,42.0,42.07
