start_node,rep,strategy,reward,ls_exact_reward,gap_pct,valid,rollout_time
0,0,beam1,2721.0,5031.0,45.915324985092425,True,0.39496493339538574
0,0,beam2,3406.0,5031.0,32.299741602067186,True,0.031749725341796875
0,0,beam3,3710.0,5031.0,26.25720532697277,True,0.04856133460998535
0,0,beam5,3710.0,5031.0,26.25720532697277,True,0.0831460952758789
0,0,beam7,3710.0,5031.0,26.25720532697277,True,0.10640549659729004
0,0,beam10,3710.0,5031.0,26.25720532697277,True,0.1409010887145996
0,1,beam1,2336.0,5546.0,57.879552830869095,True,0.01649332046508789
0,1,beam2,3597.0,5546.0,35.14244500540931,True,0.02714228630065918
0,1,beam3,3974.0,5546.0,28.3447529751172,True,0.04731130599975586
0,1,beam5,3587.0,5546.0,35.3227551388388,True,0.07961583137512207
0,1,beam7,4731.0,5546.0,14.695275874504146,True,0.11614274978637695
0,1,beam10,4731.0,5546.0,14.695275874504146,True,0.16287612915039062
0,2,beam1,2545.0,5123.0,50.32207690806169,True,0.016481876373291016
0,2,beam2,2042.0,5123.0,60.14054265079055,True,0.022045373916625977
0,2,beam3,3211.0,5123.0,37.32188170993558,True,0.048021554946899414
0,2,beam5,4028.0,5123.0,21.374194807729847,True,0.08790302276611328
0,2,beam7,4028.0,5123.0,21.374194807729847,True,0.1101529598236084
0,2,beam10,4028.0,5123.0,21.374194807729847,True,0.15751314163208008
1,0,beam1,4238.0,6087.0,30.376211598488585,True,0.026213884353637695
1,0,beam2,3856.0,6087.0,36.65188105799244,True,0.0452272891998291
1,0,beam3,4775.0,6087.0,21.55413175620174,True,0.0724644660949707
1,0,beam5,5071.0,6087.0,16.691309347790373,True,0.10248255729675293
1,0,beam7,5071.0,6087.0,16.691309347790373,True,0.13099122047424316
1,0,beam10,5071.0,6087.0,16.691309347790373,True,0.18034934997558594
1,1,beam1,3507.0,6039.0,41.92747143566816,True,0.02615809440612793
1,1,beam2,3507.0,6039.0,41.92747143566816,True,0.04114222526550293
1,1,beam3,3373.0,6039.0,44.14638185129988,True,0.05073237419128418
1,1,beam5,3440.0,6039.0,43.03692664348402,True,0.07522344589233398
1,1,beam7,3503.0,6039.0,41.99370756747806,True,0.104156494140625
1,1,beam10,3503.0,6039.0,41.99370756747806,True,0.1457829475402832
1,2,beam1,3883.0,6000.0,35.28333333333333,True,0.02645587921142578
1,2,beam2,4311.0,6000.0,28.15,True,0.045420169830322266
1,2,beam3,5007.0,6000.0,16.55,True,0.0727083683013916
1,2,beam5,5007.0,6000.0,16.55,True,0.10476493835449219
1,2,beam7,5007.0,6000.0,16.55,True,0.14043736457824707
1,2,beam10,5007.0,6000.0,16.55,True,0.18567132949829102
2,0,beam1,1083.0,5227.0,79.28065812129329,True,0.011104583740234375
2,0,beam2,4123.0,5227.0,21.12110197053759,True,0.03562498092651367
2,0,beam3,4123.0,5227.0,21.12110197053759,True,0.04641270637512207
2,0,beam5,4724.0,5227.0,9.623110770996748,True,0.08733868598937988
2,0,beam7,4724.0,5227.0,9.623110770996748,True,0.12688469886779785
2,0,beam10,4922.0,5227.0,5.835087048019897,True,0.1759655475616455
2,1,beam1,1061.0,5209.0,79.63140717988098,True,0.010914087295532227
2,1,beam2,3793.0,5209.0,27.183720483778078,True,0.031911611557006836
2,1,beam3,3793.0,5209.0,27.183720483778078,True,0.04787588119506836
2,1,beam5,5209.0,5209.0,0.0,True,0.08866214752197266
2,1,beam7,5209.0,5209.0,0.0,True,0.12238073348999023
2,1,beam10,4178.0,5209.0,19.792666538683047,True,0.15585017204284668
2,2,beam1,5743.0,6335.0,9.344909234411997,True,0.02608180046081543
2,2,beam2,5743.0,6335.0,9.344909234411997,True,0.0425412654876709
2,2,beam3,6335.0,6335.0,0.0,True,0.06703472137451172
2,2,beam5,6335.0,6335.0,0.0,True,0.09868335723876953
2,2,beam7,6335.0,6335.0,0.0,True,0.13274669647216797
2,2,beam10,6335.0,6335.0,0.0,True,0.18192768096923828
3,0,beam1,991.0,2315.0,57.19222462203024,True,0.015260934829711914
3,0,beam2,1721.0,2315.0,25.658747300215985,True,0.026251554489135742
3,0,beam3,1721.0,2315.0,25.658747300215985,True,0.03137946128845215
3,0,beam5,1721.0,2315.0,25.658747300215985,True,0.050241708755493164
3,0,beam7,1937.0,2315.0,16.328293736501077,True,0.07383871078491211
3,0,beam10,2128.0,2315.0,8.077753779697625,True,0.08727359771728516
3,1,beam1,3549.0,3932.0,9.74059003051882,True,0.016471385955810547
3,1,beam2,3932.0,3932.0,0.0,True,0.03018474578857422
3,1,beam3,3932.0,3932.0,0.0,True,0.0398106575012207
3,1,beam5,3932.0,3932.0,0.0,True,0.05472207069396973
