start_node,rep,strategy,reward,oracle_reward,gap_oracle_pct,rhlr_reward,adv_vs_rhlr_pct,mc_reward,valid,rollout_time
0,0,real_beam1,4079.0,5031.0,18.922679387795664,4948.0,-17.562651576394504,4680.0,True,0.41541099548339844
0,0,real_beam2,4107.0,5031.0,18.36612999403697,4948.0,-16.996766370250608,4680.0,True,0.04296612739562988
0,0,real_beam3,3587.0,5031.0,28.702047306698468,4948.0,-27.50606305578011,4680.0,True,0.06234407424926758
0,0,real_beam5,3710.0,5031.0,26.25720532697277,4948.0,-25.02021018593371,4680.0,True,0.08179903030395508
0,0,real_beam7,3710.0,5031.0,26.25720532697277,4948.0,-25.02021018593371,4680.0,True,0.10838103294372559
0,0,real_beam10,4195.0,5031.0,16.616974756509638,4948.0,-15.218270008084076,4680.0,True,0.15422797203063965
0,1,real_beam1,4269.0,5546.0,23.02560403894699,5042.0,-15.331217770725903,4915.0,True,0.03211855888366699
0,1,real_beam2,4293.0,5546.0,22.59285971871619,5042.0,-14.855216184053946,4915.0,True,0.041776180267333984
0,1,real_beam3,3597.0,5546.0,35.14244500540931,5042.0,-28.65926219754066,4915.0,True,0.053211212158203125
0,1,real_beam5,3750.0,5546.0,32.38369996393797,5042.0,-25.62475208250694,4915.0,True,0.08882784843444824
0,1,real_beam7,4731.0,5546.0,14.695275874504146,5042.0,-6.168187227290757,4915.0,True,0.12244486808776855
0,1,real_beam10,4731.0,5546.0,14.695275874504146,5042.0,-6.168187227290757,4915.0,True,0.16890549659729004
0,2,real_beam1,4060.0,5123.0,20.74956080421628,4905.0,-17.227319062181447,5063.0,True,0.03193068504333496
0,2,real_beam2,3671.0,5123.0,28.34276790942807,4905.0,-25.158002038735983,5063.0,True,0.04167675971984863
0,2,real_beam3,3970.0,5123.0,22.506343939098183,4905.0,-19.06218144750255,5063.0,True,0.0657644271850586
0,2,real_beam5,3680.0,5123.0,28.16708959593988,4905.0,-24.97451580020387,5063.0,True,0.09187483787536621
0,2,real_beam7,4028.0,5123.0,21.374194807729847,4905.0,-17.879714576962282,5063.0,True,0.1167137622833252
0,2,real_beam10,4028.0,5123.0,21.374194807729847,4905.0,-17.879714576962282,5063.0,True,0.1579897403717041
1,0,real_beam1,5235.0,6087.0,13.997042878265157,4419.0,18.46571622539036,5140.0,True,0.037369728088378906
1,0,real_beam2,4085.0,6087.0,32.88976507310662,4419.0,-7.55827110205929,5140.0,True,0.05281853675842285
1,0,real_beam3,4775.0,6087.0,21.55413175620174,4419.0,8.056121294410499,5140.0,True,0.07421541213989258
1,0,real_beam5,5071.0,6087.0,16.691309347790373,4419.0,14.754469336954063,5140.0,True,0.11121225357055664
1,0,real_beam7,5071.0,6087.0,16.691309347790373,4419.0,14.754469336954063,5140.0,True,0.14640045166015625
1,0,real_beam10,5071.0,6087.0,16.691309347790373,4419.0,14.754469336954063,5140.0,True,0.18262696266174316
1,1,real_beam1,3937.0,6039.0,34.80708726610366,5198.0,-24.259330511735282,5339.0,True,0.033444881439208984
1,1,real_beam2,3799.0,6039.0,37.09223381354529,5198.0,-26.91419776837245,5339.0,True,0.0468597412109375
1,1,real_beam3,5704.0,6039.0,5.547276039079318,5198.0,9.734513274336283,5339.0,True,0.08752870559692383
1,1,real_beam5,4372.0,6039.0,27.60390793177678,5198.0,-15.890727202770297,5339.0,True,0.10919737815856934
1,1,real_beam7,4074.0,6039.0,32.53849975161451,5198.0,-21.62370142362447,5339.0,True,0.11975717544555664
1,1,real_beam10,3614.0,6039.0,40.15565490975327,5198.0,-30.473258945748366,5339.0,True,0.14460229873657227
1,2,real_beam1,3847.0,6000.0,35.88333333333333,5830.0,-34.01372212692967,4589.0,True,0.026333093643188477
1,2,real_beam2,3885.0,6000.0,35.25,5830.0,-33.36192109777015,4589.0,True,0.04928421974182129
1,2,real_beam3,3885.0,6000.0,35.25,5830.0,-33.36192109777015,4589.0,True,0.06431341171264648
1,2,real_beam5,5007.0,6000.0,16.55,5830.0,-14.11663807890223,4589.0,True,0.10835695266723633
1,2,real_beam7,5007.0,6000.0,16.55,5830.0,-14.11663807890223,4589.0,True,0.13925623893737793
1,2,real_beam10,5007.0,6000.0,16.55,5830.0,-14.11663807890223,4589.0,True,0.20170831680297852
2,0,real_beam1,1914.0,5227.0,63.382437344557104,4655.0,-58.88292158968851,4922.0,True,0.020799875259399414
2,0,real_beam2,2560.0,5227.0,51.02353166252153,4655.0,-45.005370569280345,4922.0,True,0.027939796447753906
2,0,real_beam3,2560.0,5227.0,51.02353166252153,4655.0,-45.005370569280345,4922.0,True,0.04465365409851074
2,0,real_beam5,4922.0,5227.0,5.835087048019897,4655.0,5.735767991407089,4922.0,True,0.10645318031311035
2,0,real_beam7,4922.0,5227.0,5.835087048019897,4655.0,5.735767991407089,4922.0,True,0.13410592079162598
2,0,real_beam10,4922.0,5227.0,5.835087048019897,4655.0,5.735767991407089,4922.0,True,0.1836411952972412
2,1,real_beam1,2325.0,5209.0,55.36571318871184,3973.0,-41.47998993204128,4446.0,True,0.009795665740966797
2,1,real_beam2,3590.0,5209.0,31.080821654828185,3973.0,-9.640070475711049,4446.0,True,0.029273033142089844
2,1,real_beam3,3590.0,5209.0,31.080821654828185,3973.0,-9.640070475711049,4446.0,True,0.04447579383850098
2,1,real_beam5,3590.0,5209.0,31.080821654828185,3973.0,-9.640070475711049,4446.0,True,0.06995034217834473
2,1,real_beam7,3590.0,5209.0,31.080821654828185,3973.0,-9.640070475711049,4446.0,True,0.09101414680480957
