start_node,rep,strategy,reward,ls_exact_reward,gap_pct,valid,rollout_time
0,0,greedy_beam1,2721.0,5031.0,45.915324985092425,True,0.4160490036010742
0,0,beam10,3710.0,5031.0,26.25720532697277,True,0.14970970153808594
0,0,beam20,4260.0,5031.0,15.324985092426951,True,0.2907581329345703
0,0,sample128,4376.0,5031.0,13.019280461140925,True,0.09641122817993164
0,0,sample256,4376.0,5031.0,13.019280461140925,True,0.06125760078430176
0,1,greedy_beam1,2336.0,5546.0,57.879552830869095,True,0.017186880111694336
0,1,beam10,4731.0,5546.0,14.695275874504146,True,0.1714026927947998
0,1,beam20,5055.0,5546.0,8.853227551388388,True,0.3070683479309082
0,1,sample128,4471.0,5546.0,19.383339343671114,True,0.04078316688537598
0,1,sample256,4471.0,5546.0,19.383339343671114,True,0.06058979034423828
0,2,greedy_beam1,2545.0,5123.0,50.32207690806169,True,0.01832127571105957
0,2,beam10,4028.0,5123.0,21.374194807729847,True,0.16330957412719727
0,2,beam20,4632.0,5123.0,9.584227991411282,True,0.2840721607208252
0,2,sample128,3657.0,5123.0,28.616045285965253,True,0.04070305824279785
0,2,sample256,3626.0,5123.0,29.221159476869023,True,0.06120038032531738
1,0,greedy_beam1,4238.0,6087.0,30.376211598488585,True,0.029429912567138672
1,0,beam10,5071.0,6087.0,16.691309347790373,True,0.19379305839538574
1,0,beam20,5071.0,6087.0,16.691309347790373,True,0.34155869483947754
1,0,sample128,4836.0,6087.0,20.55199605717102,True,0.0485386848449707
1,0,sample256,4554.0,6087.0,25.184820108427797,True,0.06070232391357422
1,1,greedy_beam1,3507.0,6039.0,41.92747143566816,True,0.027986526489257812
1,1,beam10,3503.0,6039.0,41.99370756747806,True,0.1549217700958252
1,1,beam20,4421.0,6039.0,26.79251531710548,True,0.31309008598327637
1,1,sample128,4202.0,6039.0,30.418943533697636,True,0.04163527488708496
1,1,sample256,4612.0,6039.0,23.629740023182645,True,0.07218050956726074
1,2,greedy_beam1,3883.0,6000.0,35.28333333333333,True,0.027588367462158203
1,2,beam10,5007.0,6000.0,16.55,True,0.1936044692993164
1,2,beam20,5007.0,6000.0,16.55,True,0.38687705993652344
1,2,sample128,4586.0,6000.0,23.566666666666666,True,0.04098868370056152
1,2,sample256,4734.0,6000.0,21.099999999999998,True,0.07597684860229492
2,0,greedy_beam1,1083.0,5227.0,79.28065812129329,True,0.01152491569519043
2,0,beam10,4922.0,5227.0,5.835087048019897,True,0.18143272399902344
2,0,beam20,4922.0,5227.0,5.835087048019897,True,0.32224082946777344
2,0,sample128,3383.0,5227.0,35.278362349339965,True,0.0342257022857666
2,0,sample256,4116.0,5227.0,21.255022001147886,True,0.06059908866882324
2,1,greedy_beam1,1061.0,5209.0,79.63140717988098,True,0.01168680191040039
2,1,beam10,4178.0,5209.0,19.792666538683047,True,0.16998624801635742
2,1,beam20,5209.0,5209.0,0.0,True,0.31482863426208496
2,1,sample128,3644.0,5209.0,30.044154348243424,True,0.03304433822631836
2,1,sample256,3847.0,5209.0,26.147053177193317,True,0.04863548278808594
2,2,greedy_beam1,5743.0,6335.0,9.344909234411997,True,0.02835679054260254
2,2,beam10,6335.0,6335.0,0.0,True,0.18695950508117676
2,2,beam20,6335.0,6335.0,0.0,True,0.3564484119415283
