origin,166,85,107,130,60,159,20,146,58,63,12,19,25,35,43,48,76,82,108,122,123,124,137,143,147,158,163,165,175,191,71,118,106,127,28,186,2,142,188,125,112,145,47,78,8,129,157,41,24,93,170,86,169,21,88,105,185,104,193,179,68,22,180,49,176,87,116,84,131,103,72,187,178,70,6,77,128,119,160,154,69,174,4,44,26,90,94,117,51,114,109,150,65,75,120,62,10
166,0.0,638.19,1418.06,2834.08,2490.15,2730.29,760.22,1150.75,1222.89,1572.63,2393.52,764.15,790.78,987.38,2138.46,312.95,775.78,931.52,1469.62,1698.63,1990.02,1919.21,1496.08,790.33,959.87,2639.11,439.3,257.64,503.11,1708.3,85.84,855.86,418.08,2686.54,882.8,1434.33,887.94,746.1,1425.68,2701.7,233.99,1083.44,279.0,1090.99,2291.65,2791.23,2882.07,2228.21,899.91,1363.38,90.37,727.22,114.94,693.62,620.95,532.5,1418.49,535.34,1514.63,514.75,622.11,825.71,452.87,166.25,611.47,659.45,907.28,713.44,2682.77,447.84,575.79,1525.7,403.01,615.04,839.04,686.42,2888.67,1741.53,2924.78,2838.56,803.74,616.12,915.96,264.63,876.32,1198.5,1247.07,1039.17,1169.29,1031.55,1399.5,1017.52,1389.66,800.15,2006.62,1496.47,2309.91
85,638.63,0.0,855.03,2222.85,1878.92,2153.97,740.72,1161.17,754.81,988.91,1715.48,530.13,214.45,513.79,1527.23,621.55,355.61,293.62,829.79,1087.4,1378.79,1342.89,884.85,287.06,795.67,2062.79,948.09,851.08,685.15,1145.28,578.35,282.97,286.56,2048.64,246.94,933.27,552.8,358.14,862.65,2063.8,464.07,1050.41,652.47,453.09,1653.76,2153.33,2305.75,1616.98,707.49,787.06,637.6,90.3,722.95,563.43,61.93,207.25,855.47,110.62,951.6,558.13,124.44,610.7,565.14,555.11,523.74,161.41,330.96,79.48,2044.87,204.0,277.81,1013.87,643.96,203.54,507.15,266.53,2277.44,1107.78,2273.11,2186.89,245.45,639.88,456.34,536.38,239.34,622.18,670.74,462.85,531.39,455.23,658.47,735.47,813.33,433.16,1369.63,920.15,1631.87
107,1414.55,855.13,0.0,1718.47,1237.94,1909.96,1009.22,1360.74,347.78,902.41,1011.64,789.5,901.04,504.36,1297.37,1208.23,1133.37,552.94,148.64,877.93,1148.93,1202.38,697.62,625.01,955.71,1961.34,1780.57,1688.91,1118.75,371.55,1335.69,992.72,1115.39,1431.85,827.56,314.09,720.18,700.6,218.25,1447.01,1236.94,1249.98,1266.45,506.43,1036.97,1536.54,2204.3,1227.81,897.64,1101.1,1433.27,897.93,1517.35,858.91,917.58,1053.14,93.89,948.54,150.67,1026.64,852.6,860.61,1063.46,1249.19,959.91,1007.68,985.61,819.18,1428.08,1021.31,1128.66,333.06,1155.02,857.46,682.92,1059.28,1632.47,779.93,2043.26,1957.04,667.91,1049.53,590.37,1155.76,755.66,941.67,858.28,1117.5,400.71,965.1,167.1,811.68,880.36,1250.44,933.92,917.55,928.03
130,2830.31,2216.68,1717.27,0.0,568.39,679.18,2678.74,3030.26,2017.29,1498.54,904.0,2459.02,2058.03,2166.04,740.93,2845.39,2320.9,1985.56,1611.17,1133.64,911.55,1265.77,1339.49,2286.69,2625.23,823.73,3065.69,2968.68,2788.27,1718.77,2784.89,2118.63,2451.17,365.11,1997.38,1922.55,2389.7,2362.27,1826.71,271.49,2680.32,2919.5,2876.31,1809.72,792.11,178.02,837.45,810.54,2567.16,1829.65,2773.01,2165.85,2858.37,2528.43,2272.33,2348.59,1739.01,2326.87,1677.79,2688.31,2337.76,2530.13,2725.13,2771.36,2629.43,2195.21,2041.74,2284.33,459.78,2420.25,2316.19,1919.33,2808.33,2367.9,2352.44,2246.82,92.56,1202.25,628.61,604.32,2269.89,2719.05,2252.04,2760.22,2025.43,1958.28,1800.37,2165.02,1757.85,2038.02,1720.6,2481.2,1757.9,2437.98,1068.41,1550.06,953.09
60,2523.45,1909.82,1236.59,566.53,0.0,934.93,2198.06,2549.59,1536.62,1191.68,466.59,1978.34,1751.17,1685.36,457.43,2389.23,2014.05,1585.73,1130.49,826.78,604.69,943.68,1032.63,1806.01,2144.55,1014.36,2758.83,2661.82,2307.6,1309.97,2478.03,1811.77,2144.31,279.9,1690.52,1441.87,1909.02,1881.59,1346.03,295.07,2373.46,2438.82,2447.44,1401.21,311.43,384.59,1167.39,328.47,2086.49,1630.51,2466.16,1859.0,2551.51,2047.75,1965.48,2041.74,1258.33,2020.01,1197.11,2207.63,1913.81,2049.45,2244.45,2430.18,2148.75,1888.35,1734.88,1852.97,284.94,2113.39,2009.33,1438.65,2336.02,1948.14,1871.76,1939.96,480.52,759.99,1011.45,982.0,1848.9,2238.37,1771.36,2336.76,1718.57,1634.77,1493.52,1801.59,1307.48,1731.17,1239.92,2000.52,1451.04,2131.12,591.91,1243.2,514.96
159,2727.51,2151.31,1910.31,679.14,936.61,0.0,2702.58,3123.03,2210.34,1171.82,1397.22,2491.99,1961.27,2232.15,618.48,2771.21,2158.64,1907.93,1791.03,1056.01,819.93,851.78,1261.86,2246.55,2707.82,154.45,2962.89,2865.87,2839.0,1978.67,2682.09,1881.01,2348.36,1033.89,1889.46,2115.6,2450.5,2321.55,2019.76,940.26,2575.38,3012.27,2792.2,1732.1,1242.07,843.81,233.74,776.01,2623.07,1415.66,2670.21,2063.05,2755.56,2538.33,2198.12,2245.79,1932.06,2260.28,1869.61,2711.98,2278.3,2572.56,2719.0,2666.42,2677.6,2092.41,1828.61,2224.86,1128.55,2344.12,2213.39,2107.35,2797.82,2357.39,2404.85,2144.02,761.33,1134.47,211.6,125.38,2192.26,2793.74,2347.31,2686.04,1947.8,1544.29,1473.66,1751.03,1680.22,1711.31,1812.15,2674.25,1444.71,2073.73,1033.89,1223.35,1490.04
20,786.56,740.94,1009.5,2679.62,2199.09,2709.29,0.0,446.43,664.53,1624.64,1920.07,227.12,955.39,514.63,2096.71,468.68,1091.51,821.14,1055.93,1656.87,1948.26,1964.19,1454.32,460.12,176.83,2673.97,1218.79,1037.13,258.33,1127.37,675.01,1023.9,716.45,2393.0,940.61,880.19,284.46,407.64,883.46,2408.16,687.68,379.12,521.35,988.39,1998.11,2497.69,2916.93,2111.65,157.47,1527.99,850.87,831.24,894.43,213.53,797.82,787.71,950.33,705.84,1003.82,272.55,645.62,184.12,326.63,621.05,232.88,897.31,1071.89,676.88,2389.23,668.31,879.85,931.47,385.89,569.58,343.69,1002.43,2593.62,1611.86,2842.59,2756.37,564.28,148.02,436.7,538.02,874.33,1363.11,1387.04,1203.78,1066.69,1196.16,985.81,309.22,1484.04,1104.22,1895.06,1586.41,1836.46
146,1177.26,1161.81,1361.17,3031.29,2550.76,3130.16,447.19,0.0,1015.72,2045.51,2271.26,647.99,1376.26,869.69,2517.57,859.38,1512.37,1242.01,1410.99,2077.74,2369.13,2385.05,1875.19,880.99,410.9,3094.84,1609.49,1427.83,649.03,1360.76,1065.71,1444.77,1148.68,2744.66,1361.48,1170.42,637.32,828.51,1237.46,2759.83,1078.38,161.46,912.05,1409.26,2349.78,2849.36,3337.8,2540.63,471.35,1948.86,1241.57,1252.11,1285.13,657.4,1218.69,1227.69,1301.52,1133.98,1355.0,704.78,1066.49,576.23,763.0,1011.75,683.64,1318.18,1492.76,1097.75,2726.61,1100.54,1321.43,1164.86,776.59,997.72,731.96,1423.3,2945.28,2030.31,3263.46,3177.24,985.15,567.43,791.77,928.71,1295.2,1783.98,1807.91,1624.65,1436.76,1617.03,1340.87,548.49,1904.9,1589.92,2246.73,2007.28,2187.65
58,1221.86,733.41,347.26,2017.38,1536.85,2208.87,663.94,1015.43,0.0,1209.85,1257.35,491.96,799.66,287.26,1596.28,968.25,1011.65,551.46,485.26,1176.83,1447.84,1501.28,1039.53,474.05,610.39,2259.18,1629.61,1496.22,821.22,503.35,1143.0,891.33,964.42,1730.75,726.17,243.03,422.65,549.64,220.73,1745.92,1085.98,904.66,1038.56,566.99,1335.87,1835.44,2502.14,1526.71,552.33,1229.23,1240.58,776.21,1324.66,561.37,793.45,902.18,287.61,797.58,341.09,739.06,701.64,515.29,806.56,1056.5,662.37,892.94,884.23,678.3,1712.69,870.35,1006.94,334.4,884.11,706.5,385.38,937.56,1931.37,1078.84,2342.16,2255.94,516.95,752.0,377.22,963.07,654.28,1069.81,1015.53,1016.12,641.96,1008.5,445.96,466.36,1069.24,1128.72,1232.82,1171.62,1173.73
