0.0,0.015,0.016,0.016,0.014,0.008,0.025,0.008,0.016,0.008,0.008,0.008,0.016,0.016,0.025,0.025,0.022,0.008,0.024,0.016,0.016,0.008,0.008,0.008,0.008,0.008,0.019,0.026,0.023,0.016,0.0,0.025,0.026,0.026,0.008,0.025,0.026,0.016,0.026,0.023,0.026,0.025,0.008,0.008,0.022,0.025,0.025,0.016,0.026,0.016,0.026,0.025,0.025,0.025,0.016,0.022,0.008
0.016,0.0,0.026,0.025,0.026,0.016,0.025,0.008,0.016,0.008,0.016,0.008,0.016,0.016,0.025,0.025,0.008,0.008,0.008,0.016,0.008,0.008,0.008,0.008,0.008,0.008,0.016,0.026,0.022,0.016,0.0,0.025,0.026,0.026,0.008,0.025,0.026,0.016,0.026,0.023,0.025,0.025,0.008,0.008,0.024,0.025,0.021,0.016,0.026,0.016,0.026,0.025,0.027,0.025,0.016,0.024,0.008
0.016,0.025,0.0,0.024,0.025,0.008,0.019,0.008,0.008,0.003,0.016,0.003,0.024,0.016,0.024,0.028,0.023,0.008,0.021,0.016,0.008,0.008,0.008,0.008,0.008,0.008,0.022,0.025,0.025,0.016,0.0,0.025,0.024,0.025,0.008,0.025,0.025,0.016,0.026,0.025,0.025,0.024,0.008,0.008,0.024,0.025,0.016,0.016,0.026,0.016,0.024,0.025,0.026,0.024,0.016,0.023,0.019
0.024,0.038,0.039,0.0,0.024,0.038,0.019,0.012,0.012,0.024,0.012,0.012,0.012,0.012,0.024,0.024,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.021,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.024,0.012,0.012,0.012,0.027,0.037,0.012,0.037,0.02,0.034,0.037,0.022,0.012,0.024,0.012,0.012
0.017,0.026,0.017,0.017,0.0,0.017,0.015,0.016,0.015,0.008,0.017,0.008,0.025,0.017,0.025,0.025,0.008,0.008,0.008,0.008,0.017,0.008,0.008,0.008,0.008,0.017,0.019,0.016,0.025,0.017,0.008,0.026,0.025,0.026,0.008,0.025,0.026,0.017,0.027,0.026,0.027,0.026,0.008,0.008,0.021,0.026,0.023,0.008,0.025,0.017,0.026,0.026,0.022,0.025,0.017,0.025,0.0
0.008,0.008,0.008,0.025,0.016,0.0,0.025,0.008,0.016,0.008,0.025,0.008,0.008,0.016,0.025,0.025,0.024,0.008,0.024,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.016,0.026,0.022,0.016,0.0,0.023,0.027,0.026,0.008,0.026,0.026,0.016,0.027,0.026,0.025,0.025,0.008,0.008,0.025,0.026,0.025,0.016,0.027,0.021,0.026,0.026,0.027,0.026,0.016,0.023,0.008
0.025,0.024,0.015,0.008,0.016,0.016,0.0,0.008,0.025,0.008,0.025,0.016,0.016,0.008,0.025,0.025,0.024,0.008,0.024,0.024,0.016,0.0,0.0,0.0,0.0,0.025,0.024,0.025,0.025,0.016,0.016,0.025,0.026,0.025,0.008,0.025,0.025,0.024,0.026,0.025,0.025,0.025,0.008,0.008,0.008,0.024,0.016,0.008,0.022,0.023,0.02,0.019,0.024,0.016,0.008,0.008,0.024
0.02,0.02,0.02,0.019,0.02,0.02,0.02,0.0,0.002,0.012,0.012,0.02,0.012,0.019,0.019,0.019,0.019,0.024,0.019,0.019,0.012,0.006,0.006,0.012,0.006,0.02,0.02,0.02,0.02,0.019,0.012,0.019,0.02,0.02,0.022,0.024,0.02,0.019,0.02,0.019,0.02,0.019,0.019,0.012,0.02,0.02,0.021,0.012,0.02,0.019,0.02,0.02,0.021,0.02,0.012,0.021,0.02
0.024,0.024,0.015,0.015,0.023,0.023,0.024,0.002,0.0,0.007,0.007,0.007,0.015,0.015,0.024,0.023,0.008,0.023,0.008,0.015,0.007,0.007,0.007,0.007,0.007,0.015,0.024,0.025,0.024,0.015,0.008,0.024,0.025,0.025,0.007,0.024,0.025,0.023,0.025,0.024,0.025,0.024,0.015,0.007,0.023,0.022,0.015,0.007,0.023,0.022,0.023,0.023,0.026,0.019,0.007,0.023,0.023
0.02,0.02,0.019,0.019,0.02,0.02,0.02,0.012,0.006,0.0,0.019,0.006,0.02,0.006,0.019,0.019,0.019,0.024,0.02,0.019,0.012,0.006,0.006,0.012,0.006,0.02,0.02,0.024,0.02,0.02,0.012,0.019,0.02,0.02,0.022,0.024,0.02,0.019,0.02,0.02,0.02,0.023,0.023,0.012,0.02,0.02,0.02,0.012,0.02,0.019,0.02,0.02,0.021,0.02,0.012,0.021,0.02
